sample	integrated_mtbc_status	mtbc_support_source	kraken_mtbc_supported	kraken_species	kraken_mtbc_reads	mtbc_percent	tbprofiler_lineage_status	tbprofiler_main_lineage	tbprofiler_sub_lineage	lineage_group	resistance_profile	drug_resistance_detected	resistant_drugs	mean_depth	selected_for_phylogeny	included_in_tree	selection_basis	tbprofiler_status
0010_ERR7801146	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1459140	99.06	Resolved by TB-Profiler	lineage4	lineage4.3.4.2.1	L4	No resistance detected by TB-Profiler	NO	None reported	64.08	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0011_ERR7801159	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1335480	98.96	Resolved by TB-Profiler	lineage4	lineage4.8.1	L4	No resistance detected by TB-Profiler	NO	None reported	56.26	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0012_ERR7801197	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1327109	99.34	Resolved by TB-Profiler	lineage4	lineage4.3.4.2	L4	No resistance detected by TB-Profiler	NO	None reported	75.85	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0013_ERR7801212	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1147938	99.23	Resolved by TB-Profiler	lineage4	lineage4.1.2.1	L4	No resistance detected by TB-Profiler	NO	None reported	59.03	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0014_ERR7801217	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1072605	99.37	Resolved by TB-Profiler	lineage4	lineage4.3.4.2	L4	No resistance detected by TB-Profiler	NO	None reported	61.93	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0015_ERR7801257	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1805759	99.43	Resolved by TB-Profiler	lineage4	lineage4.3.3	L4	No resistance detected by TB-Profiler	NO	None reported	78.54	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0016_ERR7801260	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1681952	99.51	Resolved by TB-Profiler	lineage4	lineage4.3.4.2	L4	No resistance detected by TB-Profiler	NO	None reported	73.41	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0017_ERR7801266	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	978581	98.74	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	No resistance detected by TB-Profiler	NO	None reported	51.80	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0018_ERR7801275	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1722258	99.40	Resolved by TB-Profiler	lineage4	lineage4.3.3	L4	Hr-TB	YES	ethionamide, isoniazid, pyrazinamide	73.25	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0019_ERR7801283	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1131926	99.64	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	No resistance detected by TB-Profiler	NO	None reported	64.16	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0020_SRR12882014	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1197916	98.64	Resolved by TB-Profiler	lineage3	lineage3.1	L3	Hr-TB	YES	ethionamide, isoniazid	42.12	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0021_SRR12882354	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	695791	98.90	Resolved by TB-Profiler	lineage3	lineage3.1.1	L3	No resistance detected by TB-Profiler	NO	None reported	37.61	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0022_SRR12882371	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1719468	99.39	Resolved by TB-Profiler	lineage3	lineage3	L3	Monoresistance	YES	streptomycin	73.88	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0023_SRR12882580	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	854858	98.71	Resolved by TB-Profiler	lineage3	lineage3.1.1	L3	No resistance detected by TB-Profiler	NO	None reported	46.23	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0024_SRR12882583	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	780857	98.81	Resolved by TB-Profiler	lineage3	lineage3.1.1	L3	No resistance detected by TB-Profiler	NO	None reported	40.32	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0025_SRR12882700	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1460725	99.37	Resolved by TB-Profiler	lineage3	lineage3.1.1	L3	No resistance detected by TB-Profiler	NO	None reported	81.22	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0026_SRR12882715	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1569903	99.46	Resolved by TB-Profiler	lineage3	lineage3	L3	No resistance detected by TB-Profiler	NO	None reported	85.35	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0027_SRR1791710	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	903685	99.54	Resolved by TB-Profiler	La1	La1.3	L1	Monoresistance	YES	pyrazinamide	84.37	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0028_SRR1791712	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	472636	99.55	Resolved by TB-Profiler	La1	La1.3	L1	Monoresistance	YES	pyrazinamide	42.18	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0029_SRR19358248	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	551920	99.71	Resolved by TB-Profiler	lineage3	lineage3.1.1	L3	No resistance detected by TB-Profiler	NO	None reported	56.99	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0030_SRR19392925	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	399484	99.65	Resolved by TB-Profiler	lineage4	lineage4.3.4.2.1	L4	No resistance detected by TB-Profiler	NO	None reported	36.72	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0031_SRR19392955	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	453862	99.79	Resolved by TB-Profiler	lineage4	lineage4.3.4.2	L4	No resistance detected by TB-Profiler	NO	None reported	47.24	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0032_SRR19427024	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	484962	99.73	Resolved by TB-Profiler	lineage4	lineage4.3.3	L4	Monoresistance	YES	pyrazinamide	50.64	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0033_SRR19428609	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	393545	99.67	Resolved by TB-Profiler	lineage3	lineage3.1.1	L3	No resistance detected by TB-Profiler	NO	None reported	38.98	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0034_SRR19428630	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	661859	99.28	Resolved by TB-Profiler	lineage3	lineage3.1.1	L3	Hr-TB	YES	isoniazid	55.26	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0035_SRR29096283	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1113263	99.02	Resolved by TB-Profiler	lineage4	lineage4.3.4.2.1	L4	No resistance detected by TB-Profiler	NO	None reported	72.92	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0036_SRR29096542	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1157042	98.93	Resolved by TB-Profiler	lineage3	lineage3	L3	No resistance detected by TB-Profiler	NO	None reported	74.14	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0037_SRR29096705	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1288116	98.83	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	No resistance detected by TB-Profiler	NO	None reported	82.41	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
