sample	integrated_mtbc_status	mtbc_support_source	kraken_mtbc_supported	kraken_species	kraken_mtbc_reads	mtbc_percent	tbprofiler_lineage_status	tbprofiler_main_lineage	tbprofiler_sub_lineage	lineage_group	resistance_profile	drug_resistance_detected	resistant_drugs	mean_depth	selected_for_phylogeny	included_in_tree	selection_basis	tbprofiler_status
0029_SRR36942083	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1287535	98.97	Resolved by TB-Profiler	lineage4	lineage4.6.1.1	L4	No resistance detected by TB-Profiler	NO	None reported	81.08	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0030_SRR36942094	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1329225	99.07	Resolved by TB-Profiler	lineage4	lineage4.3.3	L4	No resistance detected by TB-Profiler	NO	None reported	81.99	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0031_SRR36942111	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1333724	98.77	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	No resistance detected by TB-Profiler	NO	None reported	83.87	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0032_SRR36942121	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1100519	99.01	Resolved by TB-Profiler	lineage4	lineage4.6.1.1	L4	No resistance detected by TB-Profiler	NO	None reported	69.49	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0033_SRR36942122	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1332926	98.99	Resolved by TB-Profiler	lineage3	lineage3	L3	No resistance detected by TB-Profiler	NO	None reported	83.35	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0034_SRR36942129	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1245551	99.09	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	No resistance detected by TB-Profiler	NO	None reported	75.66	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0035_SRR36942141	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1246888	99.02	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	No resistance detected by TB-Profiler	NO	None reported	77.76	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0036_SRR36942156	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1280997	98.86	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	No resistance detected by TB-Profiler	NO	None reported	80.66	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0037_SRR36942161	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1208721	99.05	Resolved by TB-Profiler	lineage4	lineage4.6.1.2	L4	Hr-TB	YES	ethionamide, isoniazid	75.95	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0038_SRR36942188	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1248356	96.13	Resolved by TB-Profiler	lineage3	lineage3	L3	No resistance detected by TB-Profiler	NO	None reported	80.85	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0039_SRR36942189	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1165861	98.97	Resolved by TB-Profiler	lineage3	lineage3	L3	No resistance detected by TB-Profiler	NO	None reported	72.81	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0040_SRR36942245	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1311779	99.02	Resolved by TB-Profiler	lineage4	lineage4.4.1.1	L4	No resistance detected by TB-Profiler	NO	None reported	82.36	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0041_SRR36942255	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1144296	99.10	Resolved by TB-Profiler	lineage4	lineage4.4.1.1	L4	No resistance detected by TB-Profiler	NO	None reported	71.75	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0042_SRR36942256	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1305242	99.09	Resolved by TB-Profiler	lineage4	lineage4.6.1.1	L4	No resistance detected by TB-Profiler	NO	None reported	81.64	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0043_SRR36942257	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1414981	99.01	Resolved by TB-Profiler	lineage4	lineage4.3.3	L4	No resistance detected by TB-Profiler	NO	None reported	88.09	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
0044_SRR36942258	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1238958	99.58	Resolved by TB-Profiler	lineage4	lineage4.8	L4	No resistance detected by TB-Profiler	NO	None reported	69.96	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
